model,regime,mean_log_vix,mean_vix,ar_coef,sigma,duration_days,stable_prob,logLik,AIC,BIC
fit1_common_AR,low_fear,2.6845530795430603,14.651651793885007,0.9731852064867519,0.04614480716151763,21.506027649622872,0.7727692310989088,-12129.738535113645,24273.47707022729,24323.097442520335
fit1_common_AR,high_fear,3.656688197559636,38.73285466239591,0.9731852064867519,0.11303473274036253,6.323791116634416,0.22723076890109106,-12129.738535113645,24273.47707022729,24323.097442520335
fit2_switching_AR,low_fear,2.599095903535374,13.45157101795091,0.9828075224909013,0.04621538538646931,22.716274496910007,0.7744030830986494,-12145.865591982338,24307.731183964675,24364.440180871014
fit2_switching_AR,high_fear,3.3369780411502297,28.133978387883786,0.9473456655344061,0.11294539389157035,6.617640866668457,0.2255969169013507,-12145.865591982338,24307.731183964675,24364.440180871014
