decile,mean_filt_prob_high,freq_smoothed_high,n
1,0.034389600326013785,0,355
2,0.043981855392826494,0,355
3,0.05752397468803802,0.002824858757062147,354
4,0.07975843644278223,0.03954802259887006,354
5,0.11748305196697126,0.05649717514124294,354
6,0.18664663528454004,0.11016949152542373,354
7,0.3123245818313306,0.20903954802259886,354
8,0.5154689130597007,0.3757062146892655,354
9,0.7606559854615675,0.7598870056497176,354
10,0.9684396126985039,1,354
