date,filt_prob_high,smooth_prob_high
1990-01-04,0.8319003591662893,0.8958794199865457
1990-01-05,0.6482662369881479,0.8270441405750163
1990-01-08,0.3564787704852704,0.8047503004504376
1990-01-09,0.6308390485235552,0.8732626244055297
1990-01-10,0.3565372036737665,0.8724005048771856
1990-01-11,0.5415746267821245,0.9552182811980655
1990-01-12,0.9997822534260866,0.9998519152597402
1990-01-15,0.8989791645608658,0.8953008588559666
1990-01-16,0.7408443547667355,0.7522700876521674
1990-01-17,0.42341894041297196,0.653069566575315
1990-01-18,0.21913052989107937,0.6628291958654908
1990-01-19,0.18398911617625335,0.7816677398271964
1990-01-22,0.9895085077416824,0.9718856035029471
1990-01-23,0.784330095634945,0.5373630860166636
1990-01-24,0.5487416134216688,0.26468110578101134
1990-01-25,0.3042121200825399,0.12279980288749541
1990-01-26,0.19310213690160316,0.06728770822365301
1990-01-29,0.10234298724418676,0.03759978109602056
1990-01-30,0.08833329283890341,0.029068425789069076
1990-01-31,0.07859643466104548,0.02133845812325844
1990-02-01,0.04614764280698424,0.01245997890966429
1990-02-02,0.03469975347464414,0.00980502494168714
1990-02-05,0.03550605084948567,0.009988528459661083
1990-02-06,0.03488291052214025,0.009953196910511077
1990-02-07,0.03078470784082384,0.010253569902937534
1990-02-08,0.029372578643746233,0.013931656825847637
1990-02-09,0.030070062614406864,0.025612915484769995
1990-02-12,0.043964279591104966,0.057838564784291446
1990-02-13,0.034187374697696345,0.11252212003417252
1990-02-14,0.05550463898102808,0.27729737520500547
1990-02-15,0.19313992100626498,0.529103395537395
1990-02-16,0.18843475585325908,0.6339886037983782
1990-02-21,0.9094532067244485,0.7744494342189334
1990-02-22,0.643436418280893,0.4046389909548533
1990-02-23,0.5429709275603758,0.23555170131968467
1990-02-26,0.2722194118634498,0.08970211650275983
1990-02-27,0.13211008108514083,0.0384941075967796
1990-02-28,0.06852485092463459,0.01956031170159896
1990-03-01,0.04369704147204631,0.01342628502573863
1990-03-02,0.03442218911228981,0.013263559611874521
1990-03-05,0.04644224753477082,0.01911597522215834
1990-03-06,0.05916314821336395,0.024107310682073176
1990-03-07,0.07445249420709288,0.026406756020414708
1990-03-08,0.06526140927213002,0.02284069448904631
1990-03-09,0.05672994816347445,0.020835512907679175
1990-03-12,0.0383996041539818,0.021431076071883437
1990-03-13,0.06445524236733327,0.03595802539831914
1990-03-14,0.07032066864260769,0.04535458661163866
1990-03-15,0.051414428268214865,0.05828669482693972
1990-03-16,0.06210222639001443,0.10152148157802354
