date,vix_close,filt_prob_high
2011-10-25,32.220001220703125,0.8875670857440562
2011-10-26,29.860000610351562,0.7353429316946215
2011-10-27,25.459999084472656,0.9809638957087691
2011-10-28,24.530000686645508,0.7271571375541722
2011-10-31,29.959999084472656,0.999941551165651
2011-11-01,34.77000045776367,0.9992136739091244
2011-11-02,32.7400016784668,0.7865543436793141
2011-11-03,30.5,0.6166729155799964
2011-11-04,30.15999984741211,0.3505951219173138
2011-11-07,29.850000381469727,0.17990217800847086
2011-11-08,27.479999542236328,0.19197439784197554
2011-11-09,36.15999984741211,0.999999906412145
2011-11-10,32.810001373291016,0.8971876676994113
2011-11-11,30.040000915527344,0.7976593738248882
2011-11-14,31.1299991607666,0.662258621632095
2011-11-15,31.219999313354492,0.4108097011431494
2011-11-16,33.5099983215332,0.6190297441679513
2011-11-17,34.5099983215332,0.48755601933495774
2011-11-18,32,0.3845079608713561
2011-11-21,32.90999984741211,0.2915090798532313
2011-11-22,31.969999313354492,0.14718425261692608
2011-11-23,33.97999954223633,0.2677666068023658
2011-11-28,32.130001068115234,0.16395159511459526
2011-11-29,30.639999389648438,0.09739307744534179
2011-11-30,27.799999237060547,0.17582737877286478
2011-12-01,27.40999984741211,0.09106331461764698
2011-12-02,27.520000457763672,0.060054126280423926
2011-12-05,27.84000015258789,0.050165951663864033
2011-12-06,28.1299991607666,0.04497860003167391
2011-12-07,28.670000076293945,0.04804920866087272
2011-12-08,30.59000015258789,0.14857894239225503
2011-12-09,26.3799991607666,0.7364519900896074
2011-12-12,25.670000076293945,0.45085460882531764
2011-12-13,25.40999984741211,0.2362833596652613
2011-12-14,26.040000915527344,0.16210267501221454
2011-12-15,25.110000610351562,0.09097249961257112
2011-12-16,24.290000915527344,0.057525547113774195
2011-12-19,24.920000076293945,0.05774111939232438
2011-12-20,23.219999313354492,0.07450567495202827
2011-12-21,21.43000030517578,0.11145903414807046
2011-12-22,21.15999984741211,0.06282220894884698
2011-12-23,20.729999542236328,0.043445791473864015
2011-12-28,23.520000457763672,0.6896485284674192
2011-12-29,22.649999618530273,0.43121252780262503
2011-12-30,23.399999618530273,0.31398036979406746
2012-01-04,22.219999313354492,0.1994460467619723
2012-01-05,21.479999542236328,0.10938637891954059
2012-01-06,20.6299991607666,0.0717462520708152
2012-01-09,21.06999969482422,0.05824126261808875
2012-01-10,20.690000534057617,0.041292915893883585
2012-01-11,21.049999237060547,0.041163079195352434
2012-01-12,20.469999313354492,0.03598753645946631
